ResNet18
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, training loss: 0.6844819115701123
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Validation accuracy: 0.6157894736842106
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Test Loss: 0.6815809971756406
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Test accuracy: 0.6324561403508772
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, training loss: 0.6409813726895324
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, training accuracy: 0.6461988304093568
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Validation Loss: 0.6280044549041324
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Validation accuracy: 0.6587719298245615
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Test Loss: 0.6226151949829526
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Test accuracy: 0.6570175438596492
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, training loss: 0.6487289018163057
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, training accuracy: 0.6163742690058479
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Validation Loss: 0.6889939618607362
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Validation accuracy: 0.6394736842105263
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Test Loss: 0.6976537050472366
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Test accuracy: 0.6192982456140351
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, training loss: 0.629498676301163
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, training accuracy: 0.6584795321637427
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Validation Loss: 0.6257845159206126
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Validation accuracy: 0.6552631578947369
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Test Loss: 0.6226819629470507
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Test accuracy: 0.6684210526315789
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, training loss: 0.6321350915409695
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, training accuracy: 0.6573099415204678
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Validation Loss: 0.6149122296935983
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Validation accuracy: 0.6508771929824562
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Test Loss: 0.609980270680454
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Test accuracy: 0.6692982456140351
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, training loss: 0.6244962342153085
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, training accuracy: 0.6625730994152047
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Validation Loss: 0.6302023310628202
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Validation accuracy: 0.6491228070175439
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Test Loss: 0.6252400957875781
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Test accuracy: 0.6622807017543859
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, training loss: 0.6232383198270174
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, training accuracy: 0.6666666666666666
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Validation Loss: 0.6199426675836245
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Validation accuracy: 0.6587719298245615
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Test Loss: 0.6232006260090404
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Test accuracy: 0.6684210526315789
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, training loss: 0.624413435564977
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, training accuracy: 0.6535087719298246
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Validation Loss: 0.6365779903199937
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Validation accuracy: 0.6543859649122807
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Test Loss: 0.6366371992561553
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Test accuracy: 0.6631578947368421
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, training loss: 0.6236314769381675
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, training accuracy: 0.6631578947368421
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, Validation Loss: 0.6203040116363101
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, Validation accuracy: 0.6526315789473685
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, Test Loss: 0.6168013955983851
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, Test accuracy: 0.6701754385964912
AdamW, lr=0.001, weight_decay=1e-05: Epoch 13, training loss: 0.62161414269532
AdamW, lr=0.001, weight_decay=1e-05: Epoch 13, training accuracy: 0.6616959064327486
AdamW, lr=0.001, weight_decay=1e-05: Epoch 13, Validation Loss: 0.6432370175090101
AdamW, lr=0.001, weight_decay=1e-05: Epoch 13, Validation accuracy: 0.6631578947368421
Early stopping trigger
Finished Training
EfficientNetB0
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, training loss: 0.49065084010362625
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, training accuracy: 0.7719298245614035
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Validation Loss: 0.4364019849648078
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Validation accuracy: 0.8421052631578947
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Test Loss: 0.6650008426772224
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Test accuracy: 0.6447368421052632
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, training loss: 0.3804711734649734
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, training accuracy: 0.8412280701754385
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Validation Loss: 0.3809438141890698
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Validation accuracy: 0.8736842105263158
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Test Loss: 7.522352933883667
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Test accuracy: 0.5859649122807018
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, training loss: 0.3587745727849341
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, training accuracy: 0.8467836257309942
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Validation Loss: 0.3193455349084818
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Validation accuracy: 0.8728070175438597
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Test Loss: 2.216971020731661
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Test accuracy: 0.5850877192982457
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, training loss: 0.31727297724198517
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, training accuracy: 0.8687134502923977
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Validation Loss: 0.37994034922060865
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Validation accuracy: 0.8763157894736842
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Test Loss: 0.6553253312077787
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Test accuracy: 0.6666666666666666
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, training loss: 0.29669169394003453
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, training accuracy: 0.8818713450292398
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Validation Loss: 0.29838959991724956
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Validation accuracy: 0.8885964912280702
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Test Loss: 1.3504459145996306
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Test accuracy: 0.5850877192982457
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, training loss: 0.26979545709267955
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, training accuracy: 0.8929824561403509
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Validation Loss: 0.3029366409949337
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Validation accuracy: 0.8903508771929824
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Test Loss: 0.8522875180674924
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Test accuracy: 0.6105263157894737
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, training loss: 0.24451100723556826
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, training accuracy: 0.9046783625730994
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Validation Loss: 0.2606988620116479
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Validation accuracy: 0.9105263157894737
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Test Loss: 1.2432842589914799
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Test accuracy: 0.5877192982456141
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, training loss: 0.22517131289867598
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, training accuracy: 0.9125730994152047
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Validation Loss: 0.3079857178187619
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Validation accuracy: 0.9
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Test Loss: 1.4738529862629042
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Test accuracy: 0.5877192982456141
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, training loss: 0.21186761046263658
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, training accuracy: 0.9192982456140351
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Validation Loss: 0.28353271209117437
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Validation accuracy: 0.8868421052631579
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Test Loss: 0.8525698801709546
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Test accuracy: 0.5956140350877193
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, training loss: 0.18826181491157998
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, training accuracy: 0.9257309941520467
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Validation Loss: 0.2988055171962414
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Validation accuracy: 0.8991228070175439
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Test Loss: 1.767492783566316
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Test accuracy: 0.5868421052631579
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, training loss: 0.1835893734192876
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, training accuracy: 0.928654970760234
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Validation Loss: 0.32751039136201143
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Validation accuracy: 0.8868421052631579
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Test Loss: 1.6115427133109834
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Test accuracy: 0.5868421052631579
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, training loss: 0.17924671332900213
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, training accuracy: 0.9330409356725147
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, Validation Loss: 0.26828372981658
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, Validation accuracy: 0.9175438596491228
Early stopping trigger
Finished Training
ViT
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, training loss: 0.6272328995934157
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, training accuracy: 0.6546783625730994
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Validation Loss: 0.5761569937070211
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Validation accuracy: 0.712280701754386
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Test Loss: 0.6731458327008618
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Test accuracy: 0.624561403508772
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, training loss: 0.6097015933455708
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, training accuracy: 0.6809941520467836
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Validation Loss: 0.6094982657167647
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Validation accuracy: 0.6947368421052632
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Test Loss: 0.7599949323468738
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Test accuracy: 0.5201754385964912
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, training loss: 0.6073005469602959
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, training accuracy: 0.6742690058479532
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Validation Loss: 0.5824462076028188
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Validation accuracy: 0.7035087719298245
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Test Loss: 0.6190369820429219
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Test accuracy: 0.6456140350877193
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, training loss: 0.5821816011845509
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, training accuracy: 0.7154970760233919
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Validation Loss: 0.5715753274659315
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Validation accuracy: 0.7289473684210527
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Test Loss: 0.7784975013799138
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Test accuracy: 0.5280701754385965
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, training loss: 0.5949912447238637
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, training accuracy: 0.6953216374269006
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Validation Loss: 0.5935037843883038
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Validation accuracy: 0.7087719298245614
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Test Loss: 0.6387904137372971
AdamW, lr=0.001, weight_decay=1e-05: Epoch 5, Test accuracy: 0.6482456140350877
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, training loss: 0.5719112127183754
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, training accuracy: 0.7222222222222222
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Validation Loss: 0.5524365666011969
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Validation accuracy: 0.7535087719298246
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Test Loss: 0.6051620410548316
AdamW, lr=0.001, weight_decay=1e-05: Epoch 6, Test accuracy: 0.6631578947368421
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, training loss: 0.572693372162703
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, training accuracy: 0.7195906432748538
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Validation Loss: 0.5326259061694145
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Validation accuracy: 0.7684210526315789
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Test Loss: 0.6720646876427863
AdamW, lr=0.001, weight_decay=1e-05: Epoch 7, Test accuracy: 0.6280701754385964
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, training loss: 0.553968047566503
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, training accuracy: 0.7429824561403509
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Validation Loss: 0.5388577481110891
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Validation accuracy: 0.7640350877192983
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Test Loss: 0.6441294314960638
AdamW, lr=0.001, weight_decay=1e-05: Epoch 8, Test accuracy: 0.6236842105263158
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, training loss: 0.5498541799661155
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, training accuracy: 0.7464912280701754
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Validation Loss: 0.5618632551696565
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Validation accuracy: 0.7298245614035088
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Test Loss: 0.6585375534163581
AdamW, lr=0.001, weight_decay=1e-05: Epoch 9, Test accuracy: 0.6078947368421053
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, training loss: 0.541204920021173
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, training accuracy: 0.7517543859649123
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Validation Loss: 0.5231145901812447
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Validation accuracy: 0.7736842105263158
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Test Loss: 0.6329164815445741
AdamW, lr=0.001, weight_decay=1e-05: Epoch 10, Test accuracy: 0.6421052631578947
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, training loss: 0.539998458506905
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, training accuracy: 0.7602339181286549
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Validation Loss: 0.5078292998174826
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Validation accuracy: 0.7885964912280702
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Test Loss: 0.6181892769204246
AdamW, lr=0.001, weight_decay=1e-05: Epoch 11, Test accuracy: 0.6526315789473685
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, training loss: 0.5335890246885959
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, training accuracy: 0.7678362573099415
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, Validation Loss: 0.5062302512427171
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, Validation accuracy: 0.7991228070175439
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, Test Loss: 0.6804922227230337
AdamW, lr=0.001, weight_decay=1e-05: Epoch 12, Test accuracy: 0.6157894736842106
AdamW, lr=0.001, weight_decay=1e-05: Epoch 13, training loss: 0.5261405202272896
AdamW, lr=0.001, weight_decay=1e-05: Epoch 13, training accuracy: 0.7751461988304094
AdamW, lr=0.001, weight_decay=1e-05: Epoch 13, Validation Loss: 0.5113324812716908
AdamW, lr=0.001, weight_decay=1e-05: Epoch 13, Validation accuracy: 0.793859649122807
AdamW, lr=0.001, weight_decay=1e-05: Epoch 13, Test Loss: 0.6725413973132769
AdamW, lr=0.001, weight_decay=1e-05: Epoch 13, Test accuracy: 0.6087719298245614
AdamW, lr=0.001, weight_decay=1e-05: Epoch 14, training loss: 0.5212951022609372
AdamW, lr=0.001, weight_decay=1e-05: Epoch 14, training accuracy: 0.7824561403508772
AdamW, lr=0.001, weight_decay=1e-05: Epoch 14, Validation Loss: 0.511627903001176
AdamW, lr=0.001, weight_decay=1e-05: Epoch 14, Validation accuracy: 0.7956140350877193
AdamW, lr=0.001, weight_decay=1e-05: Epoch 14, Test Loss: 0.6939789748026265
AdamW, lr=0.001, weight_decay=1e-05: Epoch 14, Test accuracy: 0.606140350877193
AdamW, lr=0.001, weight_decay=1e-05: Epoch 15, training loss: 0.5214114488563805
AdamW, lr=0.001, weight_decay=1e-05: Epoch 15, training accuracy: 0.7853801169590643
AdamW, lr=0.001, weight_decay=1e-05: Epoch 15, Validation Loss: 0.5102705198029677
AdamW, lr=0.001, weight_decay=1e-05: Epoch 15, Validation accuracy: 0.7956140350877193
AdamW, lr=0.001, weight_decay=1e-05: Epoch 15, Test Loss: 0.7236710670921538
AdamW, lr=0.001, weight_decay=1e-05: Epoch 15, Test accuracy: 0.5877192982456141
AdamW, lr=0.001, weight_decay=1e-05: Epoch 16, training loss: 0.5207006523263789
AdamW, lr=0.001, weight_decay=1e-05: Epoch 16, training accuracy: 0.7856725146198831
AdamW, lr=0.001, weight_decay=1e-05: Epoch 16, Validation Loss: 0.5233531619111697
AdamW, lr=0.001, weight_decay=1e-05: Epoch 16, Validation accuracy: 0.7833333333333333
AdamW, lr=0.001, weight_decay=1e-05: Epoch 16, Test Loss: 0.7234910796913836
AdamW, lr=0.001, weight_decay=1e-05: Epoch 16, Test accuracy: 0.5859649122807018
AdamW, lr=0.001, weight_decay=1e-05: Epoch 17, training loss: 0.5120245221062242
AdamW, lr=0.001, weight_decay=1e-05: Epoch 17, training accuracy: 0.791812865497076
AdamW, lr=0.001, weight_decay=1e-05: Epoch 17, Validation Loss: 0.5125900324847963
AdamW, lr=0.001, weight_decay=1e-05: Epoch 17, Validation accuracy: 0.7885964912280702
Early stopping trigger
Finished Training
